lr,reg,arch,warmup_epochs,batch_size,best_val_acc
0.0001,0.001,"[784, 256, 128, 10]",100,1024,0.2909
0.0001,0.0,"[784, 256, 128, 10]",100,1024,0.2909
0.001,0.0,"[784, 128, 10]",0,1024,0.1929
0.001,0.001,"[784, 128, 10]",0,1024,0.1929
0.001,0.001,"[784, 128, 10]",100,1024,0.1784
0.001,0.0,"[784, 128, 10]",100,1024,0.1784
0.0001,0.001,"[784, 128, 10]",100,64,0.1224
0.0001,0.0,"[784, 128, 10]",100,64,0.1224
0.0001,0.001,"[784, 128, 10]",0,64,0.1218
0.0001,0.0,"[784, 128, 10]",0,64,0.1218
0.0001,0.001,"[784, 128, 10]",100,256,0.1055
0.0001,0.0,"[784, 128, 10]",100,256,0.1055
0.0001,0.001,"[784, 128, 10]",0,256,0.1042
0.0001,0.0,"[784, 128, 10]",0,256,0.1042
0.0001,0.001,"[784, 128, 10]",0,1024,0.0923
0.0001,0.0,"[784, 128, 10]",0,1024,0.0923
0.0001,0.001,"[784, 128, 10]",100,1024,0.092
0.0001,0.0,"[784, 128, 10]",100,1024,0.092
